age,gender,income,education,marital_status,household_size,region,urban_rural,total_purchases_12m,total_spend_12m,avg_order_value,days_since_last_purchase,product_categories_purchased,returns_rate,discount_usage_rate,loyalty_program_member,email_open_rate,email_click_rate,website_visits_30d,avg_session_duration,mobile_app_usage,social_media_engagement,push_notification_enabled,sms_opt_in,purchased_product_a
49,Male,60701,Bachelor,Married,2,Southwest,Urban,13,576.94,44.38,18,5,0.038,0.501,0,0.236,0.045,11,15.17,6,15.55,1,1,0
39,Male,37033,High School,Married,4,Southwest,Suburban,14,741.65,52.98,25,1,0.029,0.436,0,0.338,0.05,8,3.49,13,24.27,0,0,0
51,Male,63185,Master,Widowed,1,Southeast,Suburban,25,2045.2,81.81,24,2,0.047,0.416,1,0.138,0.057,9,5.75,13,44.28,1,0,0
64,Male,104063,Bachelor,Married,4,Midwest,Suburban,10,889.58,88.96,28,1,0.306,0.223,0,0.267,0.029,10,5.5,5,10.69,0,0,0
38,Male,83414,Bachelor,Married,1,Northeast,Suburban,22,2071.67,94.17,21,5,0.054,0.722,1,0.14,0.042,9,5.68,7,48.87,0,0,0
38,Female,68653,High School,Married,2,West,Suburban,14,486.22,34.73,28,4,0.049,0.584,0,0.312,0.082,5,7.49,11,28.71,1,0,0
65,Female,97201,Bachelor,Divorced,4,West,Suburban,15,1083.71,72.25,34,5,0.136,0.19,1,0.266,0.053,9,4.41,13,19.26,0,0,0
53,Female,66003,Master,Widowed,2,Southwest,Suburban,16,1475.74,92.23,32,5,0.206,0.566,0,0.32,0.083,4,5.41,10,0.0,1,0,1
34,Male,52399,Bachelor,Divorced,4,West,Urban,12,467.93,38.99,38,2,0.231,0.391,1,0.212,0.04,14,4.61,12,82.37,1,1,0
50,Male,113156,PhD,Divorced,1,Northeast,Rural,23,657.74,28.6,29,4,0.081,0.549,1,0.204,0.03,16,14.66,15,8.36,1,0,1
35,Male,100632,PhD,Widowed,1,Southeast,Rural,18,1151.65,63.98,14,2,0.107,0.796,0,0.353,0.096,14,4.44,12,54.76,1,0,1
35,Other,50258,High School,Married,5,Southeast,Suburban,14,894.26,63.88,42,7,0.03,0.266,0,0.441,0.201,8,4.17,11,26.52,0,0,1
45,Female,67133,High School,Married,3,Midwest,Urban,18,1118.71,62.15,23,5,0.071,0.267,0,0.228,0.077,10,3.81,5,18.95,0,0,0
18,Female,70174,Master,Divorced,2,Southeast,Urban,13,512.06,39.39,38,3,0.069,0.212,0,0.247,0.08,9,5.1,18,49.34,0,0,0
18,Male,56811,Bachelor,Single,2,Midwest,Urban,9,395.77,43.97,33,3,0.143,0.524,0,0.431,0.159,8,4.26,9,44.79,1,0,0
