age,gender,income,education,marital_status,household_size,region,urban_rural,total_purchases_12m,total_spend_12m,avg_order_value,days_since_last_purchase,product_categories_purchased,returns_rate,discount_usage_rate,loyalty_program_member,email_open_rate,email_click_rate,website_visits_30d,avg_session_duration,mobile_app_usage,social_media_engagement,push_notification_enabled,sms_opt_in,purchased_product_a,kmeans_cluster,hierarchical_cluster,dbscan_cluster,gmm_cluster,rfm_segment,purchase_propensity,propensity_segment,rfm_tier,propensity_tier,combined_segment,action_segment,engagement_score,engagement_tier,segment_3d,action_segment_3d,R_Score,F_Score,M_Score,RFM_Score,base_lifespan,customer_lifespan_years,purchase_frequency_annual,clv_simple,clv_rfm_weighted,clv_proxy,clv_predicted,clv_tier,age_group,income_quartile,churn_risk_score,is_churned,churn_probability,churn_risk_segment,clv_churn_action
49,Male,60701,Bachelor,Married,2,Southwest,Urban,13,576.94,44.38,18,5,0.038,0.501,0,0.236,0.045,11,15.17,6,15.55,1,1,0,3,0,-1,0,Potential Loyalists,0.1531767571956525,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.3988258601802448,High Engagement,Medium Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,4,2,2,8,2.0,2.2,13,1269.2680000000005,1946.2109333333335,1172.5658980540736,1198.5517492154784,Silver,46-55,Q1 (Low),0.46636816129728437,0,0.006682884463882691,Very Low Risk,5. Growth Opportunity
39,Male,37033,High School,Married,4,Southwest,Suburban,14,741.65,52.98,25,1,0.029,0.436,0,0.338,0.05,8,3.49,13,24.27,0,0,0,2,0,-1,0,Potential Loyalists,0.1477794242559346,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.259809363609683,Low Engagement,Medium Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,3,3,2,8,2.0,2.5,14,1854.2999999999995,2842.9916666666663,1425.5238840829047,1412.2923089333417,Silver,36-45,Q1 (Low),0.4982159050558411,0,0.3296221103729559,Low Risk,5. Growth Opportunity
51,Male,63185,Master,Widowed,1,Southeast,Suburban,25,2045.2,81.81,24,2,0.047,0.416,1,0.138,0.057,9,5.75,13,44.28,1,0,0,0,3,-1,3,Champions,0.2776660172178237,Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.3283870888415485,Medium Engagement,High Value | Medium Engagement | Low Propensity,9. Fading Interest - Re-engage,4,5,5,14,3.5,3.850000000000001,25,7874.2125000000015,15223.105333333337,4520.8789266524645,4533.551498249199,Diamond,46-55,Q2,0.34672258223169033,0,0.000561051224382607,Very Low Risk,2. VIP Retain & Upsell
64,Male,104063,Bachelor,Married,4,Midwest,Suburban,10,889.58,88.96,28,1,0.306,0.223,0,0.267,0.029,10,5.5,5,10.69,0,0,0,3,1,-1,0,Potential Loyalists,0.2078865694330779,Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.1933638888535422,Low Engagement,Medium Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,3,1,3,7,2.0,1.7,10,1512.3199999999997,2218.019466666667,1561.0734266560628,1589.4212505398946,Silver,55+,Q4 (High),0.5657050000070694,1,0.9979664184926922,Critical Risk,4. Re-engagement Campaign
38,Male,83414,Bachelor,Married,1,Northeast,Suburban,22,2071.67,94.17,21,5,0.054,0.722,1,0.14,0.042,9,5.68,7,48.87,0,0,0,0,1,-1,3,Champions,0.6708789858881485,High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.2179071924241074,Low Engagement,High Value | Low Engagement | High Propensity,2. VIP Ready - Convert Now,4,5,5,14,3.5,3.5,22,7251.090000000001,14018.300333333334,4547.812067727233,4529.590286080584,Diamond,36-45,Q3,0.3750852281818452,0,0.000624325841598978,Very Low Risk,2. VIP Retain & Upsell
38,Female,68653,High School,Married,2,West,Suburban,14,486.22,34.73,28,4,0.049,0.584,0,0.312,0.082,5,7.49,11,28.71,1,0,0,2,0,-1,1,Potential Loyalists,0.1617895591937315,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.3309467368325742,Medium Engagement,Medium Value | Medium Engagement | Low Propensity,10. Dormant - Minimal Effort,3,3,1,7,2.0,2.5,14,1215.55,1782.8066666666668,919.8116310497724,947.670923848191,Bronze,36-45,Q2,0.5025217637445962,1,0.9018663830691388,Critical Risk,7. Low Priority - Monitor
65,Female,97201,Bachelor,Divorced,4,West,Suburban,15,1083.71,72.25,34,5,0.136,0.19,1,0.266,0.053,9,4.41,13,19.26,0,0,0,3,3,-1,3,Potential Loyalists,0.1829965503920344,Very Low,Medium Value,Low Propensity,Medium Value / Low Propensity,6. Fence Sitter - Engage,0.248554733528197,Low Engagement,Medium Value | Low Engagement | Low Propensity,10. Dormant - Minimal Effort,2,3,3,8,3.5,3.2725000000000004,15,3546.5718750000005,5437.876161666667,2498.314140058459,2456.7596112956167,Platinum,55+,Q4 (High),0.4482001644054717,0,0.008360741691786827,Very Low Risk,2. VIP Retain & Upsell
53,Female,66003,Master,Widowed,2,Southwest,Suburban,16,1475.74,92.23,32,5,0.206,0.566,0,0.32,0.083,4,5.41,10,0.0,1,0,1,3,0,-1,1,Loyal Customers,0.1561430628554946,Very Low,High Value,Low Propensity,High Value / Low Propensity,3. At-Risk VIP - Win Back,0.2784049499613803,Low Engagement,High Value | Low Engagement | Low Propensity,9. Fading Interest - Re-engage,3,3,4,10,2.0,1.6617499999999998,16,2452.21124,4087.1849083333327,2722.9702649884143,2719.0571558330766,Platinum,46-55,Q2,0.5158745655632795,1,0.9505455151533408,Critical Risk,1. URGENT: VIP Win-Back
34,Male,52399,Bachelor,Divorced,4,West,Urban,12,467.93,38.99,38,2,0.231,0.391,1,0.212,0.04,14,4.61,12,82.37,1,1,0,2,3,-1,3,At Risk,0.1415922188817281,Very Low,Low Value,Low Propensity,Low Value / Low Propensity,9. Cold - Low Priority,0.4869087033944169,High Engagement,Low Value | High Engagement | Low Propensity,9. Fading Interest - Re-engage,2,2,1,5,3.5,3.0345000000000004,12,1419.7818600000005,1893.24478,1337.8616960183251,1311.1734589879034,Silver,26-35,Q1 (Low),0.4491071482100055,0,0.006611935161184317,Very Low Risk,5. Growth Opportunity
50,Male,113156,PhD,Divorced,1,Northeast,Rural,23,657.74,28.6,29,4,0.081,0.549,1,0.204,0.03,16,14.66,15,8.36,1,0,1,0,1,-1,3,Loyal Customers,0.7125273975562452,High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.386029863695574,High Engagement,High Value | High Engagement | High Propensity,1. VIP Champions - Maximize,3,5,2,10,3.5,4.200000000000001,23,2762.760000000001,4604.180000000001,1759.6804891086722,1768.7873172371496,Gold,46-55,Q4 (High),0.3575495828164408,0,0.00021637250148242665,Very Low Risk,5. Growth Opportunity
35,Male,100632,PhD,Widowed,1,Southeast,Rural,18,1151.65,63.98,14,2,0.107,0.796,0,0.353,0.096,14,4.44,12,54.76,1,0,1,0,0,-1,1,Champions,0.616438324581363,High,High Value,High Propensity,High Value / High Propensity,1. VIP - Retain & Upsell,0.4429360529207164,High Engagement,High Value | High Engagement | High Propensity,1. VIP Champions - Maximize,5,4,4,13,2.0,2.7,18,3109.428,5804.316000000001,2304.562540876215,2390.771467701902,Platinum,26-35,Q4 (High),0.38303501163807896,0,0.0010124851439297278,Very Low Risk,2. VIP Retain & Upsell
