period,auc,precision,recall,actual_churn_rate,predicted_churn_rate,avg_days_since_purchase,avg_engagement
0,0.9987454140715288,0.9901654000894055,0.9835701598579041,0.4504,0.4474,31.7428,0.3442752352604923
1,0.9985483767639334,0.9852481001341081,0.9848078641644326,0.4476,0.4474,31.7428,0.3442752352604923
2,0.9984616232274375,0.9906124273580689,0.9835774522858411,0.4506,0.4474,31.7428,0.3442752352604923
3,0.9990535970114067,0.9865891819400984,0.9905745062836625,0.4456,0.4474,31.7428,0.3442752352604923
4,0.9982718518550864,0.9834599910594546,0.9817045961624274,0.4482,0.4474,31.7428,0.3442752352604923
5,0.9979595888313619,0.983907018328118,0.9883251010327795,0.4454,0.4474,31.7428,0.3442752352604923
6,0.9916523249395811,0.994188645507376,0.9737302977232924,0.4568,0.4474,32.53637,0.3391111067315849
7,0.9879331177423856,0.989718372820742,0.9630274032187908,0.4598,0.4474,33.32994,0.33394697820267755
8,0.9811412335607377,0.9932945909700491,0.9487617421007686,0.4684,0.4474,34.123509999999996,0.3287828496737702
9,0.9768727459278223,0.9932945909700491,0.9423240033927057,0.4716,0.4474,34.917080000000006,0.3236187211448628
10,0.9698940982489209,0.9986589181940099,0.9281262982966348,0.4814,0.4474,35.71065,0.31845459261595543
11,0.9695531578420579,0.994188645507376,0.9171134020618557,0.485,0.4474,36.50422,0.313290464087048
